file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,98,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,16
style.css,99,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,19
style.css,100,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,19
style.css,101,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,33
style.css,102,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,103,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,104,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,26
style.css,105,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,4
style.css,106,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,41
style.css,107,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,50
style.css,108,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,76
style.css,109,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,67
style.css,110,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,111,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,112,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,7
style.css,113,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,17
style.css,114,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,115,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,116,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,10
style.css,117,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,17
style.css,118,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,119,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
